x, y, z
25355.0, -18961.100000000002, 3042.675
26497.0, -23920.4, 3128.8250000000003
42120.700000000004, -32895.4, 2909.025
45969.1, -30486.9, 2891.0750000000003
53999.0, -19261.600000000002, 3023.8250000000003
-12056.7, -14762.4, 2900.85
13196.5, -21537.600000000002, 2855.275
-13166.300000000001, -12851.2, 3418.55
4378.8, -21940.100000000002, 2863.4
-7884.0, -31224.7, 2882.4
-28054.600000000002, -8649.6, 3036.7000000000003
-50607.4, -11810.0, 3327.1
-37314.700000000004, -6667.1, 3058.8
-46637.4, -9198.6, 3060.8
-38836.8, -15787.4, 2941.75
33695.4, 29559.8, 2811.625
33726.7, 31527.7, 3152.7000000000003
35434.3, 32384.9, 2930.1
26139.100000000002, 18382.100000000002, 3034.65
34042.2, 32878.0, 2848.4
-12044.4, 12943.7, 2956.15
-5099.1, 12211.6, 2885.2000000000003
-645.5, 4874.7, 3012.375
-11511.6, 25147.4, 2891.15
-8794.0, 19409.3, 2997.25
-37912.6, 5129.3, 3287.925
-48078.9, 9890.2, 2996.375
-35943.6, 4920.900000000001, 3086.275
-37907.0, 5111.8, 3277.6
-44223.700000000004, 5467.400000000001, 2949.775
